iter	RMSE
0	26.96188855
1	26.36440111
2	25.80909637
3	25.27353842
4	24.70274173
5	24.16344312
6	23.65786423
7	23.15495863
8	22.67167075
9	22.21877015
10	21.76420711
11	21.28727306
12	20.82587306
13	20.38160901
14	19.95428177
15	19.54643014
16	19.14234924
17	18.74338677
18	18.34297152
19	18.00969201
20	17.6534949
21	17.29582085
22	16.96404617
23	16.61261284
24	16.2788671
25	15.96770805
26	15.65322535
27	15.34182192
28	15.06745945
29	14.77578231
30	14.49035526
31	14.21606321
32	13.9770812
33	13.71398767
34	13.44599855
35	13.18202598
36	12.93772693
37	12.70271878
38	12.48797018
39	12.26322004
40	12.05529335
41	11.8321813
42	11.6217411
43	11.40959515
44	11.1992843
45	11.01042544
46	10.81680962
47	10.6250024
48	10.44542051
49	10.28129902
50	10.10968897
51	9.926441972
52	9.763615611
53	9.610515628
54	9.445463675
55	9.290778022
56	9.143435926
57	9.009712523
58	8.867900697
59	8.728928925
60	8.587426567
61	8.447858254
62	8.322396684
63	8.200199544
64	8.061824837
65	7.933636409
66	7.817045333
67	7.698009408
68	7.590658023
69	7.478701825
70	7.354365654
71	7.254122873
72	7.151704866
73	7.050995814
74	6.948652834
75	6.848480887
76	6.754019029
77	6.668167838
78	6.588523357
79	6.476597009
80	6.391054328
81	6.306681732
82	6.227238634
83	6.137649961
84	6.060608693
85	5.975103259
86	5.908652417
87	5.842319278
88	5.774659632
89	5.709965958
90	5.653081296
91	5.596111733
92	5.542857231
93	5.482967871
94	5.425565983
95	5.366918728
96	5.300631713
97	5.245961896
98	5.175066461
99	5.123064679
100	5.053127629
101	4.997832607
102	4.940204739
103	4.896278991
104	4.848199537
105	4.803502526
106	4.749456012
107	4.688725118
108	4.64532025
109	4.601783133
110	4.56261812
111	4.525798032
112	4.489293244
113	4.434580836
114	4.39761506
115	4.340680783
116	4.308724828
117	4.26207662
118	4.230013005
119	4.177954773
120	4.149347739
121	4.115602446
122	4.087415935
123	4.057243033
124	4.027812795
125	3.986214401
126	3.955465884
127	3.928534722
128	3.890568287
129	3.864107291
130	3.836584668
131	3.813280861
132	3.765754999
133	3.734677152
134	3.708906548
135	3.68466951
136	3.661964416
137	3.639865705
138	3.618739838
139	3.598604123
140	3.578106803
141	3.550773957
142	3.509996373
143	3.492034485
144	3.454426163
145	3.410658798
146	3.375386515
147	3.349198922
148	3.311916636
149	3.275896792
150	3.260524827
151	3.228716881
152	3.201956708
153	3.190746213
154	3.157483454
155	3.142613519
156	3.129160609
157	3.103825371
158	3.080776234
159	3.048910525
