iter	Passed	Remaining
0	3	4713
1	5	4415
2	8	4085
3	10	3874
4	12	3823
5	15	3777
6	17	3782
7	19	3700
8	21	3590
9	23	3571
10	26	3539
11	28	3558
12	31	3551
13	33	3527
14	35	3560
15	38	3532
16	40	3513
17	42	3500
18	44	3506
19	47	3490
20	49	3498
21	51	3472
22	53	3456
23	55	3443
24	58	3437
25	60	3437
26	62	3433
27	65	3435
28	67	3437
29	70	3435
30	72	3435
31	74	3430
32	76	3411
33	79	3409
34	81	3406
35	83	3387
36	85	3370
37	87	3356
38	89	3354
39	91	3338
40	93	3341
41	95	3331
42	97	3318
43	99	3308
44	101	3294
45	103	3286
46	106	3282
47	108	3283
48	111	3295
49	113	3297
50	116	3300
51	118	3292
52	120	3288
53	122	3276
54	124	3267
55	126	3265
56	128	3256
57	130	3250
58	132	3244
59	134	3239
60	137	3238
61	139	3236
62	141	3227
63	143	3217
64	145	3210
65	147	3201
66	149	3191
67	151	3186
68	153	3179
69	155	3175
70	157	3166
71	159	3163
72	161	3154
73	163	3141
74	165	3141
75	167	3136
76	169	3131
77	171	3122
78	173	3113
79	174	3106
80	176	3097
81	179	3097
82	181	3095
83	183	3095
84	185	3095
85	187	3089
86	189	3084
87	191	3078
88	193	3073
89	196	3076
90	198	3072
91	200	3068
92	202	3062
93	204	3057
94	206	3055
95	208	3047
96	210	3047
97	213	3047
98	215	3044
99	217	3038
100	219	3035
101	221	3030
102	222	3024
103	225	3026
104	227	3026
105	230	3024
106	232	3021
107	234	3016
108	235	3010
109	237	3005
110	240	3005
111	242	3003
112	244	3000
113	246	2997
114	248	2993
115	250	2991
116	252	2990
117	255	2988
118	257	2989
119	259	2985
120	261	2980
121	263	2974
122	265	2970
123	267	2968
124	270	2972
125	272	2969
126	274	2968
127	276	2966
128	278	2962
129	280	2957
130	282	2952
131	284	2950
132	287	2955
133	290	2959
134	293	2963
135	295	2963
136	297	2961
137	299	2957
138	301	2954
139	303	2951
140	306	2949
141	308	2947
142	310	2943
143	312	2942
144	314	2938
145	316	2939
146	318	2934
147	320	2931
148	323	2928
149	325	2926
150	327	2926
151	329	2923
152	332	2923
153	333	2917
154	336	2917
155	338	2914
156	340	2913
157	343	2914
158	345	2910
159	347	2911
160	349	2910
161	352	2910
162	354	2907
163	356	2906
164	358	2903
165	360	2899
166	362	2896
167	365	2895
168	367	2891
169	369	2891
170	372	2891
171	374	2890
172	377	2894
173	380	2896
174	382	2898
175	384	2896
176	387	2894
177	389	2894
178	392	2893
179	394	2891
180	396	2890
181	398	2888
182	401	2889
183	404	2890
184	406	2888
185	408	2885
186	410	2884
187	412	2881
188	414	2877
189	417	2875
190	419	2872
191	421	2870
192	423	2869
193	425	2866
194	428	2864
195	430	2861
196	432	2857
197	434	2856
198	436	2856
199	439	2854
200	441	2855
201	443	2850
202	445	2845
203	447	2844
204	449	2841
205	452	2841
206	453	2835
207	456	2834
208	458	2832
209	460	2827
210	462	2823
211	463	2818
212	465	2814
213	467	2810
214	469	2808
215	472	2808
216	474	2806
217	476	2801
218	478	2797
219	479	2791
220	481	2787
221	483	2785
222	486	2783
223	488	2781
224	490	2777
225	491	2773
226	493	2770
227	495	2766
228	497	2764
229	500	2761
230	502	2760
231	504	2759
232	507	2757
233	508	2753
234	510	2750
235	513	2747
236	515	2746
237	517	2745
238	520	2744
239	521	2739
240	523	2736
241	525	2731
242	527	2728
243	529	2725
244	531	2722
245	533	2719
246	535	2715
247	537	2711
248	538	2707
249	540	2702
250	542	2699
251	544	2697
252	547	2696
253	549	2694
254	551	2691
255	553	2689
256	555	2684
257	556	2680
258	559	2680
259	561	2679
260	563	2675
261	565	2672
262	567	2668
263	569	2665
264	571	2663
265	574	2662
266	576	2662
267	579	2661
268	581	2660
269	583	2657
270	585	2654
271	587	2652
272	589	2649
273	591	2648
274	594	2646
275	596	2643
276	597	2640
277	599	2637
278	601	2634
279	603	2631
280	606	2630
281	608	2627
282	610	2624
283	611	2619
284	613	2616
285	615	2612
286	617	2609
287	619	2607
288	621	2604
289	623	2603
290	625	2599
291	627	2595
292	629	2591
293	630	2587
294	632	2583
295	634	2581
296	636	2576
297	638	2574
298	640	2571
299	641	2567
300	643	2563
301	645	2559
302	647	2556
303	649	2553
304	651	2551
305	653	2549
306	655	2546
307	657	2543
308	659	2540
309	660	2536
310	662	2533
311	665	2532
312	667	2530
313	669	2528
314	678	2550
315	681	2553
316	683	2552
317	686	2550
318	688	2549
319	690	2547
320	693	2545
321	695	2544
322	698	2543
323	700	2541
324	702	2540
325	705	2539
326	707	2539
327	710	2539
328	713	2537
329	715	2536
330	717	2534
331	719	2532
332	721	2529
333	724	2528
334	726	2527
335	730	2528
336	732	2529
337	735	2530
338	738	2529
339	741	2528
340	743	2526
341	745	2524
342	747	2522
343	750	2520
344	752	2518
345	754	2517
346	757	2516
347	759	2515
348	762	2513
349	764	2511
350	766	2509
351	769	2509
352	771	2507
353	773	2505
354	776	2503
355	778	2502
356	780	2499
357	783	2498
358	785	2496
359	787	2495
360	790	2493
361	792	2491
362	794	2489
363	797	2488
364	799	2487
365	802	2485
366	804	2483
367	806	2480
368	808	2478
369	810	2475
370	812	2473
371	815	2472
372	817	2470
373	819	2467
374	821	2465
375	823	2462
376	825	2459
377	828	2458
378	830	2455
379	832	2453
380	834	2450
381	836	2449
382	839	2447
383	841	2445
384	844	2444
385	846	2442
386	848	2440
387	850	2437
388	852	2434
389	854	2431
390	856	2429
391	858	2427
392	860	2425
393	863	2422
394	865	2420
395	867	2418
396	869	2415
397	871	2413
398	873	2411
399	876	2409
400	878	2407
401	880	2405
402	882	2402
403	884	2400
404	886	2398
405	889	2396
406	891	2394
407	893	2391
408	895	2389
409	898	2387
410	900	2385
411	902	2382
412	904	2381
413	907	2379
414	910	2380
415	913	2379
416	916	2379
417	919	2378
418	921	2378
419	931	2394
420	933	2392
421	935	2390
422	950	2419
423	955	2423
424	962	2434
425	965	2434
426	967	2432
427	971	2432
428	973	2431
429	977	2431
430	980	2432
431	983	2431
432	985	2428
433	988	2428
434	992	2428
435	994	2427
436	997	2426
437	1000	2424
438	1002	2421
439	1004	2419
440	1006	2417
441	1009	2415
442	1012	2416
443	1015	2415
444	1018	2413
445	1020	2412
446	1023	2410
447	1025	2408
448	1027	2405
449	1030	2404
450	1033	2402
451	1037	2405
452	1041	2407
453	1043	2404
454	1046	2402
455	1051	2406
456	1053	2404
457	1055	2402
458	1058	2400
459	1061	2399
460	1064	2398
461	1067	2397
462	1069	2396
463	1072	2395
464	1075	2394
465	1078	2393
466	1082	2393
467	1085	2392
468	1087	2391
469	1090	2389
470	1093	2388
471	1095	2386
472	1098	2385
473	1101	2384
474	1104	2384
475	1107	2382
476	1109	2380
477	1112	2378
478	1114	2376
479	1117	2374
480	1120	2373
481	1123	2372
482	1125	2369
483	1128	2368
484	1131	2367
485	1133	2365
486	1138	2368
487	1143	2371
488	1146	2370
489	1149	2368
490	1151	2366
491	1154	2365
492	1157	2363
493	1160	2362
494	1162	2360
495	1165	2358
496	1168	2357
497	1170	2355
498	1173	2354
499	1176	2352
500	1178	2350
501	1181	2348
502	1183	2346
503	1185	2343
504	1188	2340
505	1190	2338
506	1192	2335
507	1194	2332
508	1196	2330
509	1199	2328
510	1201	2325
511	1203	2322
512	1205	2320
513	1208	2318
514	1210	2315
515	1213	2313
516	1215	2310
517	1217	2307
518	1219	2304
519	1221	2302
520	1224	2300
521	1226	2298
522	1229	2295
523	1231	2293
524	1233	2291
525	1236	2289
526	1238	2286
527	1240	2284
528	1243	2281
529	1245	2279
530	1248	2277
531	1250	2275
532	1252	2272
533	1254	2270
534	1257	2267
535	1259	2265
536	1261	2262
537	1263	2259
538	1266	2257
539	1268	2254
540	1270	2252
541	1272	2249
542	1274	2246
543	1277	2244
544	1279	2242
545	1281	2239
546	1283	2236
547	1286	2234
548	1288	2231
549	1290	2229
550	1293	2226
551	1295	2224
552	1297	2222
553	1300	2220
554	1302	2218
555	1305	2215
556	1307	2213
557	1310	2211
558	1312	2209
559	1314	2206
560	1317	2204
561	1319	2202
562	1321	2200
563	1324	2198
564	1326	2195
565	1329	2193
566	1332	2192
567	1335	2190
568	1337	2188
569	1339	2185
570	1342	2183
571	1344	2180
572	1347	2179
573	1349	2176
574	1351	2174
575	1353	2171
576	1355	2168
577	1358	2166
578	1360	2164
579	1363	2162
580	1365	2159
581	1367	2156
582	1369	2153
583	1371	2150
584	1373	2148
585	1375	2145
586	1378	2143
587	1380	2141
588	1382	2138
589	1384	2135
590	1386	2133
591	1389	2130
592	1391	2128
593	1393	2125
594	1396	2123
595	1398	2121
596	1401	2119
597	1403	2116
598	1405	2114
599	1407	2111
600	1409	2108
601	1411	2105
602	1414	2103
603	1415	2100
604	1418	2097
605	1420	2095
606	1422	2092
607	1424	2090
608	1427	2087
609	1429	2085
610	1431	2083
611	1434	2081
612	1437	2079
613	1439	2077
614	1441	2074
615	1444	2072
616	1446	2069
617	1448	2067
618	1450	2064
619	1453	2062
620	1455	2059
621	1457	2057
622	1459	2054
623	1461	2051
624	1464	2049
625	1466	2047
626	1468	2045
627	1470	2042
628	1472	2039
629	1474	2036
630	1476	2033
631	1478	2030
632	1481	2028
633	1483	2025
634	1485	2023
635	1487	2020
636	1490	2018
637	1492	2016
638	1494	2013
